asin,name,price,rating,reviews,url,page,keyword,scraped_at
B0D9R45FMH,"Sony WF-C510 Wireless Bluetooth Earbuds with Mic, TWS, in Ear, Ambient Sound Mode, Small and Comfortable, IPX4, Quick Charge, Multipoint Connectivity, Customized EQ, Up to 22 Hours Battery- White",₹4990.00,4.1,(4.3K),https://www.amazon.in/Sony-WF-C510-Wireless-Bluetooth-Comfortable/dp/B0D9R45FMH/ref=sr_1_45?dib=eyJ2IjoiMSJ9.0m2xLPe6s1aYIL-2B3sBOsJ9ZgTHS-LTv4mVLQocH68oN5-TmFA5Hl9sf-vhdUL7Qgy4A0AHKZXwUOQ8Exlx1DCTzyb8FoKwrA8-Zv-EhQu_TJB636XP7lJVj0llfBuPIqFBvq3r-74tMZZ0ZfNL25BsvfhruZ4V_kO_ZiVhTgLWSIpIiGrlKubwpj3T-k8PNeGqIV7doL3-dRM7P5OpMHceugOvqxffJGLuIFjV2nU.NIlZb4X6IKZnJV07qtOV-nqgB9_l4T-tNXDBKPF925Q&dib_tag=se&keywords=wireless+earphones&qid=1780676574,3,wireless earphones,2026-06-05 21:52:57
B0F53ZZGLZ,"Wireless BT WA 330 for Samsung Galaxy S24 Ultra Original Sports Bluetooth CV Wireless Earphone with Deep Bass and Neckband Hands-Free Calling inbuilt with Mic,Hands-Free Call/Music (330W,SA2A,BLK)",₹499.00,N/A,N/A,https://www.amazon.in/Samsung-Galaxy-S24-Ultra-Hands-Free/dp/B0F53ZZGLZ/ref=sr_1_46?dib=eyJ2IjoiMSJ9.0m2xLPe6s1aYIL-2B3sBOsJ9ZgTHS-LTv4mVLQocH68oN5-TmFA5Hl9sf-vhdUL7Qgy4A0AHKZXwUOQ8Exlx1DCTzyb8FoKwrA8-Zv-EhQu_TJB636XP7lJVj0llfBuPIqFBvq3r-74tMZZ0ZfNL25BsvfhruZ4V_kO_ZiVhTgLWSIpIiGrlKubwpj3T-k8PNeGqIV7doL3-dRM7P5OpMHceugOvqxffJGLuIFjV2nU.NIlZb4X6IKZnJV07qtOV-nqgB9_l4T-tNXDBKPF925Q&dib_tag=se&keywords=wireless+earphones&qid=1780676574,3,wireless earphones,2026-06-05 21:52:57
B0G2HDSGNB,"Life Like Over-Ear Buds,Deep Bass Earphones with Earhooks,Fast Charge,Gym Running & Workout,Touch Control (Black)",₹825.00,5.0,(1),https://www.amazon.in/Life-Like-Over-Ear-Earphones-Earhooks/dp/B0G2HDSGNB/ref=sr_1_47?dib=eyJ2IjoiMSJ9.0m2xLPe6s1aYIL-2B3sBOsJ9ZgTHS-LTv4mVLQocH68oN5-TmFA5Hl9sf-vhdUL7Qgy4A0AHKZXwUOQ8Exlx1DCTzyb8FoKwrA8-Zv-EhQu_TJB636XP7lJVj0llfBuPIqFBvq3r-74tMZZ0ZfNL25BsvfhruZ4V_kO_ZiVhTgLWSIpIiGrlKubwpj3T-k8PNeGqIV7doL3-dRM7P5OpMHceugOvqxffJGLuIFjV2nU.NIlZb4X6IKZnJV07qtOV-nqgB9_l4T-tNXDBKPF925Q&dib_tag=se&keywords=wireless+earphones&qid=1780676574,3,wireless earphones,2026-06-05 21:52:57
B0GWRC62H7,"Buds 2a Wireless Earbuds Active Noise Cancelling 42dB Hybrid ANC Bluetooth Headphones, 12.4mm Dynamic Driver for Big Bass, 4 Mic Clear Call, Sport Ear Buds for Android, Light Grey",₹499.00,1.0,(2),https://www.amazon.in/2a-Wireless-Cancelling-Bluetooth-Headphones/dp/B0GWRC62H7/ref=sr_1_48?dib=eyJ2IjoiMSJ9.0m2xLPe6s1aYIL-2B3sBOsJ9ZgTHS-LTv4mVLQocH68oN5-TmFA5Hl9sf-vhdUL7Qgy4A0AHKZXwUOQ8Exlx1DCTzyb8FoKwrA8-Zv-EhQu_TJB636XP7lJVj0llfBuPIqFBvq3r-74tMZZ0ZfNL25BsvfhruZ4V_kO_ZiVhTgLWSIpIiGrlKubwpj3T-k8PNeGqIV7doL3-dRM7P5OpMHceugOvqxffJGLuIFjV2nU.NIlZb4X6IKZnJV07qtOV-nqgB9_l4T-tNXDBKPF925Q&dib_tag=se&keywords=wireless+earphones&qid=1780676574,3,wireless earphones,2026-06-05 21:52:57
B0H14QC6JB,"Wireless in - Ear Bluetooth Earbuds with Charging Case – Compact Design, Deep Bass & Clear Sound Blue, Black, White (White)",₹699.00,5.0,(3),https://www.amazon.in/NEXATECH-Wireless-Bluetooth-Earbuds-Charging/dp/B0H14QC6JB/ref=sr_1_49?dib=eyJ2IjoiMSJ9.0m2xLPe6s1aYIL-2B3sBOsJ9ZgTHS-LTv4mVLQocH68oN5-TmFA5Hl9sf-vhdUL7Qgy4A0AHKZXwUOQ8Exlx1DCTzyb8FoKwrA8-Zv-EhQu_TJB636XP7lJVj0llfBuPIqFBvq3r-74tMZZ0ZfNL25BsvfhruZ4V_kO_ZiVhTgLWSIpIiGrlKubwpj3T-k8PNeGqIV7doL3-dRM7P5OpMHceugOvqxffJGLuIFjV2nU.NIlZb4X6IKZnJV07qtOV-nqgB9_l4T-tNXDBKPF925Q&dib_tag=se&keywords=wireless+earphones&qid=1780676574,3,wireless earphones,2026-06-05 21:52:57
B0FXH7F72M,"Earbuds for Samsung Galaxy A36 5G / A 36 Earbuds Original Like True Wireless Bluetooth in-Ear Headphones Earphones TWS with Mic, Touch Controls, Deep Bass, Sports (30 Hours Case, YB)",₹599.00,1.0,(1),https://www.amazon.in/Samsung-Galaxy-A36-5G-Headphones/dp/B0FXH7F72M/ref=sr_1_50?dib=eyJ2IjoiMSJ9.0m2xLPe6s1aYIL-2B3sBOsJ9ZgTHS-LTv4mVLQocH68oN5-TmFA5Hl9sf-vhdUL7Qgy4A0AHKZXwUOQ8Exlx1DCTzyb8FoKwrA8-Zv-EhQu_TJB636XP7lJVj0llfBuPIqFBvq3r-74tMZZ0ZfNL25BsvfhruZ4V_kO_ZiVhTgLWSIpIiGrlKubwpj3T-k8PNeGqIV7doL3-dRM7P5OpMHceugOvqxffJGLuIFjV2nU.NIlZb4X6IKZnJV07qtOV-nqgB9_l4T-tNXDBKPF925Q&dib_tag=se&keywords=wireless+earphones&qid=1780676574,3,wireless earphones,2026-06-05 21:52:57
B0GG4VMF69,"Earbuds for Motorola Edge 60 Fusion Earbuds Original Like True Wireless Bluetooth in-Ear Headphones Earphones TWS with Mic, Touch Controls, Deep Bass, Sports (38 Hours Case, OPBR2-50)",₹690.00,2.0,(3),https://www.amazon.in/Motorola-Edge-60-Fusion-Headphones/dp/B0GG4VMF69/ref=sr_1_51?dib=eyJ2IjoiMSJ9.0m2xLPe6s1aYIL-2B3sBOsJ9ZgTHS-LTv4mVLQocH68oN5-TmFA5Hl9sf-vhdUL7Qgy4A0AHKZXwUOQ8Exlx1DCTzyb8FoKwrA8-Zv-EhQu_TJB636XP7lJVj0llfBuPIqFBvq3r-74tMZZ0ZfNL25BsvfhruZ4V_kO_ZiVhTgLWSIpIiGrlKubwpj3T-k8PNeGqIV7doL3-dRM7P5OpMHceugOvqxffJGLuIFjV2nU.NIlZb4X6IKZnJV07qtOV-nqgB9_l4T-tNXDBKPF925Q&dib_tag=se&keywords=wireless+earphones&qid=1780676574,3,wireless earphones,2026-06-05 21:52:57
B0GSK5N8NZ,"Earbuds for One-Plus Nord CE 4 5G Earbuds Original Like True Wireless Bluetooth in-Ear Headphones Earphones TWS with Mic, Touch Controls, Deep Bass, Sports (38 Hours Case, OPBR52)",₹690.00,N/A,N/A,https://www.amazon.in/SHOPFAST-Nord-CE-5G-Headphones/dp/B0GSK5N8NZ/ref=sr_1_52?dib=eyJ2IjoiMSJ9.0m2xLPe6s1aYIL-2B3sBOsJ9ZgTHS-LTv4mVLQocH68oN5-TmFA5Hl9sf-vhdUL7Qgy4A0AHKZXwUOQ8Exlx1DCTzyb8FoKwrA8-Zv-EhQu_TJB636XP7lJVj0llfBuPIqFBvq3r-74tMZZ0ZfNL25BsvfhruZ4V_kO_ZiVhTgLWSIpIiGrlKubwpj3T-k8PNeGqIV7doL3-dRM7P5OpMHceugOvqxffJGLuIFjV2nU.NIlZb4X6IKZnJV07qtOV-nqgB9_l4T-tNXDBKPF925Q&dib_tag=se&keywords=wireless+earphones&qid=1780676574,3,wireless earphones,2026-06-05 21:52:57
B0FVS76HKH,"Fire-Boltt Aero TWS Earbuds Custom EQ, Wireless Bluetooth 5.4, Music & App Support, 50H Playtime, Fast Charging Case, 50ms Low Latency for Gaming, Touch Controls, IPX4 Waterproof, Clear Calls - White",₹699.00,3.8,(11.2K),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2ODI3OTI2Njk2NjQ2MzU3OjE3ODA2NzY1NzQ6c3BfYnRmOjMwMDg1MjYwNzc1MzMzMjo6MDo6&url=%2FFire-Boltt-Wireless-Bluetooth-Playtime-Waterproof%2Fdp%2FB0FVS76HKH%2Fref%3Dsr_1_53_sspa%3Fdib%3DeyJ2IjoiMSJ9.0m2xLPe6s1aYIL-2B3sBOsJ9ZgTHS-LTv4mVLQocH68oN5-TmFA5Hl9sf-vhdUL7Qgy4A0AHKZXwUOQ8Exlx1DCTzyb8FoKwrA8-Zv-EhQu_TJB636XP7lJVj0llfBuPIqFBvq3r-74tMZZ0ZfNL25BsvfhruZ4V_kO_ZiVhTgLWSIpIiGrlKubwpj3T-k8PNeGqIV7doL3-dRM7P5OpMHceugOvqxffJGLuIFjV2nU.NIlZb4X6IKZnJV07qtOV-nqgB9_l4T-tNXDBKPF925Q%26dib_tag%3Dse%26keywords%3Dwireless%2Bearphones%26qid%3D1780676574%26aref%3DIohKyKKF1v%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1&aref=IohKyKKF1v&sp_cr=ZAZ,3,wireless earphones,2026-06-05 21:52:57
B0C2F5KD26,"Skullcandy Smokin Buds Wireless in Ear Earbuds – ENC Clear Calls, Music/Movie/Podcast EQ Modes, 20Hr Battery + Rapid Charge, Touch Controls, Solo Bud Use, IPX4 Water Resistant (Black)",₹1999.00,3.6,(15.3K),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2ODI3OTI2Njk2NjQ2MzU3OjE3ODA2NzY1NzQ6c3BfYnRmOjMwMTAxNDAwNTEyODczMjo6MDo6&url=%2FSkullcandy-Wireless-Renewable-Microphone-Bluetooth%2Fdp%2FB0C2F5KD26%2Fref%3Dsr_1_54_sspa%3Fdib%3DeyJ2IjoiMSJ9.0m2xLPe6s1aYIL-2B3sBOsJ9ZgTHS-LTv4mVLQocH68oN5-TmFA5Hl9sf-vhdUL7Qgy4A0AHKZXwUOQ8Exlx1DCTzyb8FoKwrA8-Zv-EhQu_TJB636XP7lJVj0llfBuPIqFBvq3r-74tMZZ0ZfNL25BsvfhruZ4V_kO_ZiVhTgLWSIpIiGrlKubwpj3T-k8PNeGqIV7doL3-dRM7P5OpMHceugOvqxffJGLuIFjV2nU.NIlZb4X6IKZnJV07qtOV-nqgB9_l4T-tNXDBKPF925Q%26dib_tag%3Dse%26keywords%3Dwireless%2Bearphones%26qid%3D1780676574%26aref%3DM5hwxZTi85%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1&aref=M5hwxZTi85&sp_cr=ZAZ,3,wireless earphones,2026-06-05 21:52:57
